Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic,topic_enc,diff_enc,target_enc,quiz_id,quiz_question,question,Correct_Option_Number
"When tall buildings are constructed on earth, the duration of day night
A. slightly increases
B. slightly decreases
c. has no change
D. none of these",Physics,"When tall buildings are constructed on earth, the duration of day night",slightly increases,slightly decreases,has no change,none of these,slightly increases,Optics,Easy,1004,9,76,129,Hard,electricity,5,1,0,QZ0132,"When tall buildings are constructed on earth, the duration of day night
A. slightly increases
B. slightly decreases
c. has no change
D. none of these","When tall buildings are constructed on earth, the duration of day night",1
"Assertion
A convex lens of glass \( (\mu=1.5) \) behave as a diverging lens when immersed in carbon disulphide of higher refractive index \( (\mu=1.65) \)
Reason
A diverging lens is thinner in the middle
and thicker at the edges.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics,"Assertion
A convex lens of glass \( (\mu=1.5) \) behave as a diverging lens when immersed in carbon disulphide of higher refractive index \( (\mu=1.65) \)
Reason
A diverging lens is thinner in the middle
and thicker at the edges.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Optics,Easy,1032,3,47,211,Medium,thermodynamics ,5,2,6,QZ0316,"Assertion
A convex lens of glass \( (\mu=1.5) \) behave as a diverging lens when immersed in carbon disulphide of higher refractive index \( (\mu=1.65) \)
Reason
A diverging lens is thinner in the middle
and thicker at the edges.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect","Assertion
A convex lens of glass \( (\mu=1.5) \) behave as a diverging lens when immersed in carbon disulphide of higher refractive index \( (\mu=1.65) \)
Reason
A diverging lens is thinner in the middle
and thicker at the edges.",1
"A lightning conductor consists of
A. several sharp metal spiked connected to a thick copper strip.
B. a metal plate buried deep inside the ground connected to the ground end of copper strip.
C. a conductor fixed on top of the building.
D. all of the above",Physics,A lightning conductor consists of,several sharp metal spiked connected to a thick copper strip.,a metal plate buried deep inside the ground connected to the ground end of copper strip.,a conductor fixed on top of the building.,all of the above,several sharp metal spiked connected to a thick copper strip.,Optics,Easy,1052,5,54,53,Medium,thermodynamics ,5,2,6,QZ0179,"A lightning conductor consists of
A. several sharp metal spiked connected to a thick copper strip.
B. a metal plate buried deep inside the ground connected to the ground end of copper strip.
C. a conductor fixed on top of the building.
D. all of the above",A lightning conductor consists of,1
"Lightning is also known as:
A. Mechanical energy
B. Electric discharge.
c. Potential current
D. Kinetic current",Physics,Lightning is also known as:,Mechanical energy,Electric discharge.,Potential current,Kinetic current,Mechanical energy,Optics,Easy,1007,9,95,148,Hard,mixed questions,5,1,3,QZ0187,"Lightning is also known as:
A. Mechanical energy
B. Electric discharge.
c. Potential current
D. Kinetic current",Lightning is also known as:,1
"Unpolarized light passes through two
polaroids, the axis of one is vertical and
that of the other is \( 30^{\circ} \) to the vertical.
What is the orientation and intensity of
the transmitted light?
A. Plane polarized at \( 60^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{4} \)
B. Plane polarized at \( 30^{\circ} \) to the vertical and having intensity of \( \frac{3 l_{0}}{8} \)
C. Plane polarized at \( 30^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{2} \)
D. No light passes",Physics,"Unpolarized light passes through two
polaroids, the axis of one is vertical and
that of the other is \( 30^{\circ} \) to the vertical.
What is the orientation and intensity of
the transmitted light?",Plane polarized at \( 60^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{4} \),Plane polarized at \( 30^{\circ} \) to the vertical and having intensity of \( \frac{3 l_{0}}{8} \),Plane polarized at \( 30^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{2} \),No light passes,Plane polarized at \( 60^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{4} \),Optics,Easy,1009,8,77,182,Hard,modern physics,5,1,4,QZ0046,"Unpolarized light passes through two
polaroids, the axis of one is vertical and
that of the other is \( 30^{\circ} \) to the vertical.
What is the orientation and intensity of
the transmitted light?
A. Plane polarized at \( 60^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{4} \)
B. Plane polarized at \( 30^{\circ} \) to the vertical and having intensity of \( \frac{3 l_{0}}{8} \)
C. Plane polarized at \( 30^{\circ} \) to the vertical and having intensity \( \frac{l_{0}}{2} \)
D. No light passes","Unpolarized light passes through two
polaroids, the axis of one is vertical and
that of the other is \( 30^{\circ} \) to the vertical.
What is the orientation and intensity of
the transmitted light?",1
"Assertion
Threshold wavelength of certain metal
is \( \lambda_{0} . \) Light of wavelength slightly less
than \( \lambda_{0} \) is incident on the plate. It is
found that after some time the
emission of electrons stops
Reason
The ejected electrons experience force
of attraction due to development of
positive.
A. Assertion is incorrect but Reason is correct
B. Both Assertion and Reason are correct and Reason is not the correct explanation for Assertion.
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect and Reason is correct explanation for Assertion.",Physics,"Assertion
Threshold wavelength of certain metal
is \( \lambda_{0} . \) Light of wavelength slightly less
than \( \lambda_{0} \) is incident on the plate. It is
found that after some time the
emission of electrons stops
Reason
The ejected electrons experience force
of attraction due to development of
positive.",Assertion is incorrect but Reason is correct,Both Assertion and Reason are correct and Reason is not the correct explanation for Assertion.,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect and Reason is correct explanation for Assertion.,Assertion is incorrect but Reason is correct,Optics,Easy,1007,7,53,271,Medium,mechanics,5,2,2,QZ0468,"Assertion
Threshold wavelength of certain metal
is \( \lambda_{0} . \) Light of wavelength slightly less
than \( \lambda_{0} \) is incident on the plate. It is
found that after some time the
emission of electrons stops
Reason
The ejected electrons experience force
of attraction due to development of
positive.
A. Assertion is incorrect but Reason is correct
B. Both Assertion and Reason are correct and Reason is not the correct explanation for Assertion.
C. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect and Reason is correct explanation for Assertion.","Assertion
Threshold wavelength of certain metal
is \( \lambda_{0} . \) Light of wavelength slightly less
than \( \lambda_{0} \) is incident on the plate. It is
found that after some time the
emission of electrons stops
Reason
The ejected electrons experience force
of attraction due to development of
positive.",1
"The gas thermometer are more sensitive than liquid thermometers because gases
A. expand more than liquid
B. are easily obtained
c. are much lighter
D. do not easily change their states",Physics,The gas thermometer are more sensitive than liquid thermometers because gases,expand more than liquid,are easily obtained,are much lighter,do not easily change their states,expand more than liquid,Optics,Easy,1081,10,86,169,Hard,mixed questions,5,1,3,QZ0371,"The gas thermometer are more sensitive than liquid thermometers because gases
A. expand more than liquid
B. are easily obtained
c. are much lighter
D. do not easily change their states",The gas thermometer are more sensitive than liquid thermometers because gases,1
"According to laws of refraction(Snell's law
A. \( \angle i=\angle r \)
B. \( \sin i=\sin r \)
c. \( \frac{\sin i}{\sin r}= \) constant
D. \( \tan i=\tan r \)",Physics,According to laws of refraction(Snell's law,\( \angle i=\angle r \),\( \sin i=\sin r \),\( \frac{\sin i}{\sin r}= \) constant,\( \tan i=\tan r \),\( \angle i=\angle r \),Optics,Easy,1055,5,34,251,Easy,kinematics,5,0,1,QZ0258,"According to laws of refraction(Snell's law
A. \( \angle i=\angle r \)
B. \( \sin i=\sin r \)
c. \( \frac{\sin i}{\sin r}= \) constant
D. \( \tan i=\tan r \)",According to laws of refraction(Snell's law,1
"A light emitting diode (LED) has a voltage drop of \( 2 \mathrm{V} \) across it and passes a current of 10 mA. When it operates with a \( 6 \mathrm{V} \) battery through a limiting resistor \( R, \) the value of \( R \) is
A . \( 200 \Omega \)
B. 400 \( \Omega \)
c. \( 40 k \Omega \)
D. 4 \( k \Omega \)",Physics,"A light emitting diode (LED) has a voltage drop of \( 2 \mathrm{V} \) across it and passes a current of 10 mA. When it operates with a \( 6 \mathrm{V} \) battery through a limiting resistor \( R, \) the value of \( R \) is
A . \( 200 \Omega \)","has a voltage drop of \( 2 \mathrm{V} \) across it and passes a current of 10 mA. When it operates with a \( 6 \mathrm{V} \) battery through a limiting resistor \( R, \) the value of \( R \) is
A . \( 200 \Omega \)",400 \( \Omega \),\( 40 k \Omega \),4 \( k \Omega \),400 \( \Omega \),Optics,Easy,1007,9,62,271,Medium,modern physics,5,2,4,QZ0241,"A light emitting diode (LED) has a voltage drop of \( 2 \mathrm{V} \) across it and passes a current of 10 mA. When it operates with a \( 6 \mathrm{V} \) battery through a limiting resistor \( R, \) the value of \( R \) is
A . \( 200 \Omega \)
B. 400 \( \Omega \)
c. \( 40 k \Omega \)
D. 4 \( k \Omega \)","A light emitting diode (LED) has a voltage drop of \( 2 \mathrm{V} \) across it and passes a current of 10 mA. When it operates with a \( 6 \mathrm{V} \) battery through a limiting resistor \( R, \) the value of \( R \) is
A . \( 200 \Omega \)",2
"Which of the following occurs in
scattering?
A. Light is reflected back in the original direction.
B. Light is split into its spectrum.
C. Photons in the light wave are absorbed by the particles.
D. Absorption and re-emission of light energy by small particles.",Physics,"Which of the following occurs in
scattering?",Light is reflected back in the original direction.,Light is split into its spectrum.,Photons in the light wave are absorbed by the particles.,Absorption and re-emission of light energy by small particles.,Light is reflected back in the original direction.,Optics,Easy,1026,5,21,72,Easy,kinematics,5,0,1,QZ0397,"Which of the following occurs in
scattering?
A. Light is reflected back in the original direction.
B. Light is split into its spectrum.
C. Photons in the light wave are absorbed by the particles.
D. Absorption and re-emission of light energy by small particles.","Which of the following occurs in
scattering?",1
